,Date,EURUSD,USDCAD
Tu,05/12/2020,1.0807,1.4008
Mo,05/11/2020,1.0826,1.3932
Fr,05/08/2020,1.0834,1.3973
Th,05/07/2020,1.0795,1.4146
We,05/06/2020,1.084,1.4049
Tu,05/05/2020,1.0907,1.4087
Mo,05/04/2020,1.0981,1.4061
Fr,05/01/2020,1.0955,1.3945
Th,04/30/2020,1.0873,1.388
We,04/29/2020,1.082,1.3998
Tu,04/28/2020,1.0829,1.4033
Mo,04/27/2020,1.0804,1.4117
Fr,04/24/2020,1.0777,1.4073
Th,04/23/2020,1.0823,1.4161
We,04/22/2020,1.0858,1.4211
Tu,04/21/2020,1.0862,1.4149
Mo,04/20/2020,1.0875,1.4006
Fr,04/17/2020,1.084,1.4082
Th,04/16/2020,1.091,1.4115
We,04/15/2020,1.098,1.3883
Tu,04/14/2020,1.0914,1.3904
Mo,04/13/2020,1.093,1.3954
Fr,04/10/2020,1.093,1.3976
Th,04/09/2020,1.0858,1.4013
We,04/08/2020,1.0892,1.3993
Tu,04/07/2020,1.0793,1.4111
Mo,04/06/2020,1.0814,1.42
Fr,04/03/2020,1.0858,1.4138
Th,04/02/2020,1.0964,1.4191
We,04/01/2020,1.1031,1.4062
Tu,03/31/2020,1.1048,1.4166
Mo,03/30/2020,1.1132,1.3979
Fr,03/27/2020,1.1032,1.402
Th,03/26/2020,1.0882,1.4191
We,03/25/2020,1.0788,1.4462
Tu,03/24/2020,1.0725,1.4494
Mo,03/23/2020,1.0695,1.4335
Fr,03/20/2020,1.0691,1.4511
Th,03/19/2020,1.0915,1.4505
We,03/18/2020,1.0997,1.4202
Tu,03/17/2020,1.1183,1.4016
Mo,03/16/2020,1.1067,1.3831
Fr,03/13/2020,1.1185,1.3925
Th,03/12/2020,1.127,1.3779
We,03/11/2020,1.1281,1.3727
Tu,03/10/2020,1.145,1.3702
Mo,03/09/2020,1.1293,1.3463
Fr,03/06/2020,1.1238,1.3411
Th,03/05/2020,1.1136,1.3385
We,03/04/2020,1.1173,1.338
Tu,03/03/2020,1.1134,1.3327
Mo,03/02/2020,1.1007,1.3412
Fr,02/28/2020,1.1001,1.3391
Th,02/27/2020,1.0881,1.3333
We,02/26/2020,1.0882,1.3279
Tu,02/25/2020,1.0854,1.3293
Mo,02/24/2020,1.0846,1.3238
Fr,02/21/2020,1.0785,1.3259
Th,02/20/2020,1.0805,1.3221
We,02/19/2020,1.0792,1.326
Tu,02/18/2020,1.0836,1.3235
Mo,02/17/2020,1.0834,1.3253
Fr,02/14/2020,1.0841,1.3267
Th,02/13/2020,1.0874,1.3251
We,02/12/2020,1.0916,1.3286
Tu,02/11/2020,1.0911,1.3317
Mo,02/10/2020,1.0951,1.3305
Fr,02/07/2020,1.0983,1.3284
Th,02/06/2020,1.0999,1.3282
We,02/05/2020,1.1044,1.3276
Tu,02/04/2020,1.106,1.3286
Mo,02/03/2020,1.1084,1.3233
Fr,01/31/2020,1.1032,1.3209
Th,01/30/2020,1.101,1.3199
We,01/29/2020,1.1022,1.3156
Tu,01/28/2020,1.1019,1.3194
Mo,01/27/2020,1.1023,1.3145
Fr,01/24/2020,1.1055,1.3127
Th,01/23/2020,1.1093,1.3135
We,01/22/2020,1.1082,1.307
Tu,01/21/2020,1.1095,1.3048
Mo,01/20/2020,1.1094,1.3062
Fr,01/17/2020,1.1137,1.3042
Th,01/16/2020,1.115,1.3042
We,01/15/2020,1.1128,1.3062
Tu,01/14/2020,1.1134,1.3057
Mo,01/13/2020,1.1122,1.3052
Fr,01/10/2020,1.1106,1.3056
Th,01/09/2020,1.1105,1.3039
We,01/08/2020,1.1153,1.3005
Tu,01/07/2020,1.1197,1.2965
Mo,01/06/2020,1.1168,1.2992
Fr,01/03/2020,1.1172,1.2981
Th,01/02/2020,1.1212,1.2986
We,01/01/2020,1.1213,1.299
Tu,12/31/2019,1.1199,1.3069
Mo,12/30/2019,1.1179,1.3076
Fr,12/27/2019,1.1098,1.3122
Th,12/26/2019,1.1092,1.316
We,12/25/2019,1.1089,1.3165
Tu,12/24/2019,1.1089,1.3148
Mo,12/23/2019,1.1081,1.3162
Fr,12/20/2019,1.1122,1.3125
Th,12/19/2019,1.1114,1.3115
We,12/18/2019,1.115,1.316
Tu,12/17/2019,1.1144,1.3155
Mo,12/16/2019,1.1126,1.318
Fr,12/13/2019,1.113,1.3185
Th,12/12/2019,1.113,1.3174
We,12/11/2019,1.1092,1.323
Tu,12/10/2019,1.1064,1.3239
Mo,12/09/2019,1.1055,1.3256
Fr,12/06/2019,1.1104,1.3174
Th,12/05/2019,1.1078,1.3201
We,12/04/2019,1.1082,1.3296
Tu,12/03/2019,1.1079,1.3308
Mo,12/02/2019,1.1013,1.3282
Fr,11/29/2019,1.1009,1.3282
Th,11/28/2019,1.0999,1.3283
We,11/27/2019,1.1021,1.3272
Tu,11/26/2019,1.1014,1.3299
Mo,11/25/2019,1.1026,1.3302
Fr,11/22/2019,1.1059,1.3285
Th,11/21/2019,1.1073,1.3304
We,11/20/2019,1.1078,1.3268
Tu,11/19/2019,1.1072,1.3206
Mo,11/18/2019,1.1052,1.3225
Fr,11/15/2019,1.1022,1.3248
Th,11/14/2019,1.1007,1.3251
We,11/13/2019,1.1009,1.3233
Tu,11/12/2019,1.1033,1.3233
Mo,11/11/2019,1.1021,1.3221
Fr,11/08/2019,1.105,1.3174
Th,11/07/2019,1.1066,1.3181
We,11/06/2019,1.1075,1.3157
Tu,11/05/2019,1.1128,1.3151
Mo,11/04/2019,1.1165,1.3138
Fr,11/01/2019,1.1152,1.3164
Th,10/31/2019,1.1151,1.3159
We,10/30/2019,1.1112,1.3087
Tu,10/29/2019,1.11,1.3055
Mo,10/28/2019,1.1082,1.3062
Fr,10/25/2019,1.1104,1.3071
Th,10/24/2019,1.113,1.3072
We,10/23/2019,1.1125,1.3095
Tu,10/22/2019,1.115,1.3089
Mo,10/21/2019,1.1146,1.3139
Fr,10/18/2019,1.1125,1.3137
Th,10/17/2019,1.1072,1.3202
We,10/16/2019,1.1033,1.3199
Tu,10/15/2019,1.1027,1.3234
Mo,10/14/2019,1.1044,1.3199
Fr,10/11/2019,1.1005,1.3292
Th,10/10/2019,1.0971,1.3333
We,10/09/2019,1.0957,1.3325
Tu,10/08/2019,1.0971,1.3309
Mo,10/07/2019,1.0979,1.3319
Fr,10/04/2019,1.0965,1.3337
Th,10/03/2019,1.0959,1.3325
We,10/02/2019,1.0933,1.3221
Tu,10/01/2019,1.0899,1.3241
Mo,09/30/2019,1.0946,1.3244
Fr,09/27/2019,1.0921,1.3269
Th,09/26/2019,1.0943,1.3268
We,09/25/2019,1.102,1.3243
Tu,09/24/2019,1.0993,1.3263
Mo,09/23/2019,1.1008,1.3256
Fr,09/20/2019,1.1041,1.326
Th,09/19/2019,1.103,1.3289
We,09/18/2019,1.1073,1.3244
Tu,09/17/2019,1.1001,1.324
Mo,09/16/2019,1.1075,1.3224
Fr,09/13/2019,1.1065,1.321
Th,09/12/2019,1.101,1.3194
We,09/11/2019,1.1043,1.3152
Tu,09/10/2019,1.1048,1.3168
Mo,09/09/2019,1.1028,1.3172
Fr,09/06/2019,1.1035,1.323
Th,09/05/2019,1.1035,1.3224
We,09/04/2019,1.0974,1.3337
Tu,09/03/2019,1.097,1.3326
Mo,09/02/2019,1.0987,1.3314
Fr,08/30/2019,1.1057,1.3287
Th,08/29/2019,1.1077,1.3306
We,08/28/2019,1.109,1.3283
Tu,08/27/2019,1.1102,1.3254
Mo,08/26/2019,1.1148,1.3291
Fr,08/23/2019,1.108,1.3303
Th,08/22/2019,1.1085,1.3291
We,08/21/2019,1.11,1.3319
Tu,08/20/2019,1.1078,1.3324
Mo,08/19/2019,1.1095,1.3273
Fr,08/16/2019,1.1107,1.3313
Th,08/15/2019,1.1139,1.3319
We,08/14/2019,1.1171,1.3223
Tu,08/13/2019,1.1214,1.3239
Mo,08/12/2019,1.1207,1.322
Fr,08/09/2019,1.118,1.3227
Th,08/08/2019,1.1199,1.3303
We,08/07/2019,1.1199,1.3281
Tu,08/06/2019,1.1203,1.3204
Mo,08/05/2019,1.1109,1.3213
Fr,08/02/2019,1.1085,1.3212
Th,08/01/2019,1.1076,1.3191
We,07/31/2019,1.1155,1.3151
Tu,07/30/2019,1.1145,1.3164
Mo,07/29/2019,1.1127,1.3167
Fr,07/26/2019,1.1147,1.3165
Th,07/25/2019,1.114,1.3142
We,07/24/2019,1.1152,1.3136
Tu,07/23/2019,1.1209,1.3119
Mo,07/22/2019,1.1218,1.3066
Fr,07/19/2019,1.1277,1.3027
Th,07/18/2019,1.1224,1.3053
We,07/17/2019,1.1211,1.3088
Tu,07/16/2019,1.1258,1.3049
Mo,07/15/2019,1.1269,1.304
Fr,07/12/2019,1.1254,1.3072
Th,07/11/2019,1.1251,1.3082
We,07/10/2019,1.1208,1.3128
Tu,07/09/2019,1.1214,1.3096
Mo,07/08/2019,1.1223,1.3073
Fr,07/05/2019,1.1285,1.3053
Th,07/04/2019,1.1278,1.3058
We,07/03/2019,1.1285,1.3108
Tu,07/02/2019,1.1286,1.3135
Mo,07/01/2019,1.137,1.3093
Fr,06/28/2019,1.1369,1.3095
Th,06/27/2019,1.1369,1.3127
We,06/26/2019,1.1366,1.3169
Tu,06/25/2019,1.1399,1.318
Mo,06/24/2019,1.136,1.3216
Fr,06/21/2019,1.1293,1.3191
Th,06/20/2019,1.1226,1.328
We,06/19/2019,1.1194,1.3377
Tu,06/18/2019,1.1218,1.3413
Mo,06/17/2019,1.1213,1.3405
Fr,06/14/2019,1.1276,1.3327
Th,06/13/2019,1.1287,1.3343
We,06/12/2019,1.1326,1.3284
Tu,06/11/2019,1.1312,1.3269
Mo,06/10/2019,1.1321,1.3249
Fr,06/07/2019,1.1276,1.3362
Th,06/06/2019,1.1221,1.3415
We,06/05/2019,1.1252,1.3394
Tu,06/04/2019,1.1241,1.3437
Mo,06/03/2019,1.1167,1.3534
Fr,05/31/2019,1.1129,1.35
Th,05/30/2019,1.1131,1.352
We,05/29/2019,1.116,1.3494
Tu,05/28/2019,1.1193,1.3444
Mo,05/27/2019,1.1199,1.3432
Fr,05/24/2019,1.1181,1.3474
Th,05/23/2019,1.115,1.3435
We,05/22/2019,1.1161,1.3406
Tu,05/21/2019,1.1166,1.3429
Mo,05/20/2019,1.116,1.3456
Fr,05/17/2019,1.1174,1.346
Th,05/16/2019,1.1201,1.3438
We,05/15/2019,1.1204,1.3462
Tu,05/14/2019,1.1222,1.3478
Mo,05/13/2019,1.1238,1.3418
Fr,05/10/2019,1.1215,1.3477
Th,05/09/2019,1.1192,1.3479
We,05/08/2019,1.1191,1.3474
Tu,05/07/2019,1.1199,1.3448
Mo,05/06/2019,1.1171,1.3434
Fr,05/03/2019,1.1172,1.3475
Th,05/02/2019,1.1196,1.3446
We,05/01/2019,1.1215,1.3388
Tu,04/30/2019,1.1186,1.3458
Mo,04/29/2019,1.1156,1.3457
Fr,04/26/2019,1.1132,1.3485
Th,04/25/2019,1.1155,1.3493
We,04/24/2019,1.1227,1.3423
Tu,04/23/2019,1.1257,1.3347
Mo,04/22/2019,1.1244,1.3389
Fr,04/19/2019,1.1231,1.3376
Th,04/18/2019,1.1296,1.3341
We,04/17/2019,1.1281,1.335
Tu,04/16/2019,1.1304,1.3367
Mo,04/15/2019,1.1308,1.3337
Fr,04/12/2019,1.1253,1.3383
Th,04/11/2019,1.1274,1.3319
We,04/10/2019,1.1263,1.333
Tu,04/09/2019,1.1263,1.3314
Mo,04/08/2019,1.1217,1.3387
Fr,04/05/2019,1.1221,1.3359
Th,04/04/2019,1.1233,1.3345
We,04/03/2019,1.1204,1.3337
Tu,04/02/2019,1.1213,1.3307
Mo,04/01/2019,1.122,1.3352
Fr,03/29/2019,1.1221,1.3438
Th,03/28/2019,1.1244,1.3409
We,03/27/2019,1.1266,1.3381
Tu,03/26/2019,1.1312,1.3404
Mo,03/25/2019,1.1318,1.3426
Fr,03/22/2019,1.1374,1.3364
Th,03/21/2019,1.1413,1.3305
We,03/20/2019,1.1352,1.332
Tu,03/19/2019,1.1337,1.3334
Mo,03/18/2019,1.1325,1.3335
Fr,03/15/2019,1.1304,1.3335
Th,03/14/2019,1.1327,1.3302
We,03/13/2019,1.1288,1.3354
Tu,03/12/2019,1.1245,1.3394
Mo,03/11/2019,1.1238,1.3415
Fr,03/08/2019,1.1193,1.3455
Th,03/07/2019,1.1307,1.3442
We,03/06/2019,1.1308,1.335
Tu,03/05/2019,1.134,1.3303
Mo,03/04/2019,1.1376,1.3293
Fr,03/01/2019,1.1371,1.3172
Th,02/28/2019,1.137,1.3156
We,02/27/2019,1.1389,1.3169
Tu,02/26/2019,1.1358,1.3187
Mo,02/25/2019,1.1337,1.3143
Fr,02/22/2019,1.1336,1.3232
Th,02/21/2019,1.1338,1.3176
We,02/20/2019,1.1341,1.3211
Tu,02/19/2019,1.1311,1.324
Mo,02/18/2019,1.1294,1.3255
Fr,02/15/2019,1.1295,1.3295
Th,02/14/2019,1.1261,1.3254
We,02/13/2019,1.1326,1.3238
Tu,02/12/2019,1.1276,1.3302
Mo,02/11/2019,1.1328,1.3286
Fr,02/08/2019,1.1341,1.3308
Th,02/07/2019,1.1362,1.3214
We,02/06/2019,1.1406,1.3126
Tu,02/05/2019,1.1437,1.311
Mo,02/04/2019,1.1456,1.3096
Fr,02/01/2019,1.1448,1.3125
Th,01/31/2019,1.148,1.3149
We,01/30/2019,1.1433,1.3269
Tu,01/29/2019,1.1428,1.3261
Mo,01/28/2019,1.1407,1.3218
Fr,01/25/2019,1.1304,1.335
Th,01/24/2019,1.1381,1.3343
We,01/23/2019,1.136,1.3355
Tu,01/22/2019,1.1365,1.3294
Mo,01/21/2019,1.137,1.327
Fr,01/18/2019,1.1389,1.3279
Th,01/17/2019,1.1392,1.3255
We,01/16/2019,1.1413,1.3265
Tu,01/15/2019,1.1469,1.3285
Mo,01/14/2019,1.1463,1.3263
Fr,01/11/2019,1.15,1.3237
Th,01/10/2019,1.1543,1.3209
We,01/09/2019,1.1441,1.3273
Tu,01/08/2019,1.1474,1.3299
Mo,01/07/2019,1.1395,1.3378
Fr,01/04/2019,1.1394,1.3488
Th,01/03/2019,1.1344,1.3579
We,01/02/2019,1.1465,1.3629
Tu,01/01/2019,1.1467,1.3637
Mo,12/31/2018,1.1447,1.3633
Fr,12/28/2018,1.143,1.3619
Th,12/27/2018,1.1353,1.3574
We,12/26/2018,1.1392,1.3592
Tu,12/25/2018,1.1406,1.3597
Mo,12/24/2018,1.1372,1.3596
Fr,12/21/2018,1.1446,1.3509
Th,12/20/2018,1.1376,1.3484
We,12/19/2018,1.1361,1.3466
Tu,12/18/2018,1.1348,1.3407
Mo,12/17/2018,1.1305,1.3381
Fr,12/14/2018,1.1361,1.3355
Th,12/13/2018,1.1369,1.335
We,12/12/2018,1.1317,1.339
Tu,12/11/2018,1.1356,1.3398
Mo,12/10/2018,1.14,1.3318
Fr,12/07/2018,1.1374,1.3383
Th,12/06/2018,1.1344,1.3355
We,12/05/2018,1.1343,1.3262
Tu,12/04/2018,1.1354,1.3197
Mo,12/03/2018,1.133,1.3258
Fr,11/30/2018,1.1393,1.3282
Th,11/29/2018,1.1366,1.3275
We,11/28/2018,1.1289,1.3294
Tu,11/27/2018,1.1328,1.3255
Mo,11/26/2018,1.1342,1.3234
Fr,11/23/2018,1.1403,1.319
Th,11/22/2018,1.1384,1.3231
We,11/21/2018,1.137,1.3306
Tu,11/20/2018,1.1454,1.3171
Mo,11/19/2018,1.1411,1.3161
Fr,11/16/2018,1.1328,1.3178
Th,11/15/2018,1.131,1.3242
We,11/14/2018,1.129,1.3239
Tu,11/13/2018,1.1218,1.3247
Mo,11/12/2018,1.1331,1.3196
Fr,11/09/2018,1.1363,1.3155
Th,11/08/2018,1.1426,1.3112
We,11/07/2018,1.1427,1.3124
Tu,11/06/2018,1.1407,1.311
Mo,11/05/2018,1.1398,1.3099
Fr,11/02/2018,1.1408,1.3086
Th,11/01/2018,1.1312,1.3157
We,10/31/2018,1.1345,1.311
Tu,10/30/2018,1.1373,1.3134
Mo,10/29/2018,1.1407,1.3107
Fr,10/26/2018,1.1375,1.3074
Th,10/25/2018,1.1392,1.3057
We,10/24/2018,1.1471,1.3085
Tu,10/23/2018,1.1464,1.3101
Mo,10/22/2018,1.1508,1.3097
Fr,10/19/2018,1.1453,1.3085
Th,10/18/2018,1.1501,1.302
We,10/17/2018,1.1574,1.2934
Tu,10/16/2018,1.1579,1.2991
Mo,10/15/2018,1.1563,1.3023
Fr,10/12/2018,1.1593,1.3032
Th,10/11/2018,1.152,1.3068
We,10/10/2018,1.1491,1.2946
Tu,10/09/2018,1.1491,1.2965
Mo,10/08/2018,1.1519,1.2944
Fr,10/05/2018,1.1514,1.2924
Th,10/04/2018,1.1478,1.2868
We,10/03/2018,1.1548,1.2823
Tu,10/02/2018,1.1578,1.2814
Mo,10/01/2018,1.1604,1.2883
Fr,09/28/2018,1.1641,1.3042
Th,09/27/2018,1.1739,1.3019
We,09/26/2018,1.1767,1.2954
Tu,09/25/2018,1.1748,1.2956
Mo,09/24/2018,1.1751,1.2911
Fr,09/21/2018,1.1777,1.2903
Th,09/20/2018,1.1673,1.2927
We,09/19/2018,1.1667,1.2974
Tu,09/18/2018,1.1683,1.3043
Mo,09/17/2018,1.1623,1.3043
Fr,09/14/2018,1.169,1.2998
Th,09/13/2018,1.1626,1.2998
We,09/12/2018,1.1606,1.3067
Tu,09/11/2018,1.1594,1.3164
Mo,09/10/2018,1.156,1.3176
Fr,09/07/2018,1.1623,1.3142
Th,09/06/2018,1.163,1.3178
We,09/05/2018,1.1582,1.3189
Tu,09/04/2018,1.1619,1.3095
Mo,09/03/2018,1.1596,1.3048
Fr,08/31/2018,1.1671,1.2983
Th,08/30/2018,1.1707,1.2907
We,08/29/2018,1.1695,1.2933
Tu,08/28/2018,1.1678,1.2967
Mo,08/27/2018,1.1631,1.3026
Fr,08/24/2018,1.154,1.3082
Th,08/23/2018,1.1597,1.2997
We,08/22/2018,1.1571,1.3037
Tu,08/21/2018,1.1482,1.3047
Mo,08/20/2018,1.144,1.3059
Fr,08/17/2018,1.1377,1.3156
Th,08/16/2018,1.1345,1.3141
We,08/15/2018,1.1344,1.3058
Tu,08/14/2018,1.141,1.3134
Mo,08/13/2018,1.1388,1.315
Fr,08/10/2018,1.1527,1.3051
Th,08/09/2018,1.161,1.3022
We,08/08/2018,1.1599,1.3053
Tu,08/07/2018,1.1554,1.3004
Mo,08/06/2018,1.157,1.2992
Fr,08/03/2018,1.1585,1.3023
Th,08/02/2018,1.166,1.3003
We,08/01/2018,1.1691,1.3006
Tu,07/31/2018,1.1706,1.3036
Mo,07/30/2018,1.1659,1.3054
Fr,07/27/2018,1.1643,1.3074
Th,07/26/2018,1.1729,1.3046
We,07/25/2018,1.1687,1.3155
Tu,07/24/2018,1.1692,1.3172
Mo,07/23/2018,1.1727,1.314
Fr,07/20/2018,1.1642,1.3273
Th,07/19/2018,1.1639,1.3169
We,07/18/2018,1.1661,1.3191
Tu,07/17/2018,1.1711,1.3136
Mo,07/16/2018,1.1676,1.3161
Fr,07/13/2018,1.1671,1.3154
Th,07/12/2018,1.1674,1.3208
We,07/11/2018,1.1744,1.3113
Tu,07/10/2018,1.1751,1.3107
Mo,07/09/2018,1.1748,1.3093
Fr,07/06/2018,1.1691,1.3132
Th,07/05/2018,1.1657,1.3143
We,07/04/2018,1.1658,1.3139
Tu,07/03/2018,1.1639,1.3186
Mo,07/02/2018,1.165,1.3153
Fr,06/29/2018,1.1569,1.3249
Th,06/28/2018,1.1554,1.3342
We,06/27/2018,1.1648,1.3308
Tu,06/26/2018,1.1704,1.3297
Mo,06/25/2018,1.1657,1.3276
Fr,06/22/2018,1.1604,1.3315
Th,06/21/2018,1.1572,1.331
We,06/20/2018,1.159,1.3286
Tu,06/19/2018,1.1623,1.3202
Mo,06/18/2018,1.161,1.319
Fr,06/15/2018,1.1568,1.3105
Th,06/14/2018,1.1791,1.2987
We,06/13/2018,1.1745,1.3015
Tu,06/12/2018,1.1784,1.2978
Mo,06/11/2018,1.1765,1.2971
Fr,06/08/2018,1.18,1.2972
Th,06/07/2018,1.1774,1.2944
We,06/06/2018,1.1718,1.297
Tu,06/05/2018,1.1699,1.2931
Mo,06/04/2018,1.1655,1.2949
Fr,06/01/2018,1.1693,1.2958
Th,05/31/2018,1.1665,1.2874
We,05/30/2018,1.154,1.3018
Tu,05/29/2018,1.1624,1.2993
Mo,05/28/2018,1.1656,1.2972
Fr,05/25/2018,1.172,1.2882
Th,05/24/2018,1.1696,1.2833
We,05/23/2018,1.1779,1.2819
Tu,05/22/2018,1.1791,1.2789
Mo,05/21/2018,1.1763,1.288
Fr,05/18/2018,1.1794,1.2808
Th,05/17/2018,1.1807,1.279
We,05/16/2018,1.1838,1.2877
Tu,05/15/2018,1.1927,1.2813
Mo,05/14/2018,1.1948,1.2783
Fr,05/11/2018,1.1915,1.2767
Th,05/10/2018,1.1851,1.2854
We,05/09/2018,1.1864,1.295
Tu,05/08/2018,1.1922,1.2881
Mo,05/07/2018,1.1954,1.2846
Fr,05/04/2018,1.1988,1.2847
Th,05/03/2018,1.1951,1.2884
We,05/02/2018,1.1992,1.2849
Tu,05/01/2018,1.2078,1.2843
Mo,04/30/2018,1.2121,1.2835
Fr,04/27/2018,1.2103,1.287
Th,04/26/2018,1.2161,1.2844
We,04/25/2018,1.2232,1.2833
Tu,04/24/2018,1.2209,1.2849
Mo,04/23/2018,1.2289,1.2755
Fr,04/20/2018,1.2345,1.2672
Th,04/19/2018,1.2374,1.263
We,04/18/2018,1.237,1.2551
Tu,04/17/2018,1.238,1.2567
Mo,04/16/2018,1.2322,1.26
Fr,04/13/2018,1.2326,1.2587
Th,04/12/2018,1.2367,1.2581
We,04/11/2018,1.2356,1.2602
Tu,04/10/2018,1.2321,1.2697
Mo,04/09/2018,1.2279,1.2773
Fr,04/06/2018,1.224,1.275
Th,04/05/2018,1.2278,1.277
We,04/04/2018,1.2271,1.2807
Tu,04/03/2018,1.2302,1.2913
Mo,04/02/2018,1.2322,1.2898
Fr,03/30/2018,1.23,1.2884
Th,03/29/2018,1.2308,1.2923
We,03/28/2018,1.2403,1.2886
Tu,03/27/2018,1.2444,1.2844
Mo,03/26/2018,1.2348,1.2891
Fr,03/23/2018,1.2302,1.294
Th,03/22/2018,1.2338,1.2903
We,03/21/2018,1.2242,1.3071
Tu,03/20/2018,1.2335,1.3078
Mo,03/19/2018,1.2304,1.3096
Fr,03/16/2018,1.2305,1.3052
Th,03/15/2018,1.2367,1.2955
We,03/14/2018,1.239,1.2966
Tu,03/13/2018,1.2334,1.2842
Mo,03/12/2018,1.2313,1.2825
Fr,03/09/2018,1.2312,1.2896
Th,03/08/2018,1.2411,1.2912
We,03/07/2018,1.2404,1.2876
Tu,03/06/2018,1.2336,1.2964
Mo,03/05/2018,1.2322,1.2875
Fr,03/02/2018,1.2267,1.2837
Th,03/01/2018,1.2194,1.2831
We,02/28/2018,1.2233,1.2776
Tu,02/27/2018,1.2317,1.2681
Mo,02/26/2018,1.2296,1.2643
Fr,02/23/2018,1.233,1.2705
Th,02/22/2018,1.2284,1.2703
We,02/21/2018,1.2337,1.2647
Tu,02/20/2018,1.2407,1.2561
Mo,02/19/2018,1.2408,1.2546
Fr,02/16/2018,1.2506,1.2481
Th,02/15/2018,1.2451,1.2493
We,02/14/2018,1.2352,1.2592
Tu,02/13/2018,1.2292,1.2577
Mo,02/12/2018,1.2254,1.2588
Fr,02/09/2018,1.2247,1.2603
Th,02/08/2018,1.2264,1.2568
We,02/07/2018,1.2377,1.2492
Tu,02/06/2018,1.2367,1.254
Mo,02/05/2018,1.2456,1.2424
Fr,02/02/2018,1.251,1.2268
Th,02/01/2018,1.2414,1.2315
We,01/31/2018,1.2402,1.2336
Tu,01/30/2018,1.2383,1.234
Mo,01/29/2018,1.2425,1.2314
Fr,01/26/2018,1.2396,1.2377
Th,01/25/2018,1.2408,1.2348
We,01/24/2018,1.2299,1.2419
Tu,01/23/2018,1.2262,1.2444
Mo,01/22/2018,1.2271,1.2503
Fr,01/19/2018,1.2238,1.2418
Th,01/18/2018,1.2186,1.2438
We,01/17/2018,1.226,1.2435
Tu,01/16/2018,1.2264,1.2429
Mo,01/15/2018,1.2197,1.2468
Fr,01/12/2018,1.2032,1.2519
Th,01/11/2018,1.1948,1.2547
We,01/10/2018,1.1937,1.2464
Tu,01/09/2018,1.1967,1.2421
Mo,01/08/2018,1.2027,1.2415
Fr,01/05/2018,1.2068,1.2487
Th,01/04/2018,1.2015,1.2536
We,01/03/2018,1.2059,1.2512
Tu,01/02/2018,1.2012,1.2545
Mo,01/01/2018,1.2,1.2574
Fr,12/29/2017,1.1943,1.257
Th,12/28/2017,1.1888,1.2655
We,12/27/2017,1.1858,1.2687
Tu,12/26/2017,1.187,1.2726
Mo,12/25/2017,1.185,1.2721
Fr,12/22/2017,1.1874,1.274
Th,12/21/2017,1.1871,1.2835
We,12/20/2017,1.184,1.2878
Tu,12/19/2017,1.1782,1.2862
Mo,12/18/2017,1.1752,1.2875
Fr,12/15/2017,1.1778,1.2797
Th,12/14/2017,1.1826,1.2817
We,12/13/2017,1.1742,1.2866
Tu,12/12/2017,1.1769,1.2856
Mo,12/11/2017,1.1766,1.2856
Fr,12/08/2017,1.1773,1.2854
Th,12/07/2017,1.1796,1.2789
We,12/06/2017,1.1826,1.2691
Tu,12/05/2017,1.1866,1.2673
Mo,12/04/2017,1.1882,1.2696
Fr,12/01/2017,1.1904,1.2897
Th,11/30/2017,1.1847,1.2865
We,11/29/2017,1.184,1.2815
Tu,11/28/2017,1.1898,1.2769
Mo,11/27/2017,1.1931,1.2719
Fr,11/24/2017,1.185,1.2713
Th,11/23/2017,1.1822,1.2696
We,11/22/2017,1.1738,1.2778
Tu,11/21/2017,1.1733,1.282
Mo,11/20/2017,1.179,1.2766
Fr,11/17/2017,1.177,1.2757
Th,11/16/2017,1.1791,1.2764
We,11/15/2017,1.1798,1.2731
Tu,11/14/2017,1.1667,1.2733
Mo,11/13/2017,1.1667,1.2685
Fr,11/10/2017,1.1642,1.2682
Th,11/09/2017,1.1595,1.2729
We,11/08/2017,1.1587,1.2777
Tu,11/07/2017,1.161,1.2704
Mo,11/06/2017,1.1609,1.2768
Fr,11/03/2017,1.1658,1.2809
Th,11/02/2017,1.1619,1.2865
We,11/01/2017,1.1646,1.2888
Tu,10/31/2017,1.1651,1.2833
Mo,10/30/2017,1.1603,1.2815
Fr,10/27/2017,1.165,1.2846
Th,10/26/2017,1.1813,1.2796
We,10/25/2017,1.1761,1.2675
Tu,10/24/2017,1.1749,1.2648
Mo,10/23/2017,1.1775,1.2625
Fr,10/20/2017,1.1852,1.2485
Th,10/19/2017,1.1787,1.2467
We,10/18/2017,1.1766,1.2523
Tu,10/17/2017,1.1796,1.2518
Mo,10/16/2017,1.1825,1.2477
Fr,10/13/2017,1.183,1.2474
Th,10/12/2017,1.1859,1.2458
We,10/11/2017,1.1808,1.2515
Tu,10/10/2017,1.174,1.2551
Mo,10/09/2017,1.1729,1.2533
Fr,10/06/2017,1.1711,1.2565
Th,10/05/2017,1.1759,1.2476
We,10/04/2017,1.1744,1.2487
Tu,10/03/2017,1.1733,1.2508
Mo,10/02/2017,1.1816,1.2473
Fr,09/29/2017,1.1786,1.2428
Th,09/28/2017,1.1745,1.2477
We,09/27/2017,1.1793,1.2349
Tu,09/26/2017,1.1848,1.2371
Mo,09/25/2017,1.1915,1.2337
Fr,09/22/2017,1.1941,1.2327
Th,09/21/2017,1.1892,1.2323
We,09/20/2017,1.1994,1.2292
Tu,09/19/2017,1.1954,1.2291
Mo,09/18/2017,1.1946,1.2189
